id,disposition,mission
TIC 380583651,CANDIDATE,K2
TIC 350475295,CANDIDATE,K2
TIC 291074740,CANDIDATE,K2
TIC 291074740,CANDIDATE,K2
TIC 396915707,CANDIDATE,K2
TIC 396947594,CANDIDATE,K2
TIC 388897619,CANDIDATE,K2
TIC 388897619,CANDIDATE,K2
TIC 388897619,CANDIDATE,K2
TIC 388897619,CANDIDATE,K2
TIC 388897619,CANDIDATE,K2
TIC 388897619,CANDIDATE,K2
TIC 388915104,CANDIDATE,K2
TIC 388915104,CANDIDATE,K2
TIC 388769008,CANDIDATE,K2
TIC 396915596,CANDIDATE,K2
TIC 396915596,CANDIDATE,K2
TIC 396915593,FALSE POSITIVE,K2
TIC 388913291,FALSE POSITIVE,K2
TIC 55072605,FALSE POSITIVE,K2
TIC 55072605,FALSE POSITIVE,K2
TIC 45545629,CANDIDATE,K2
TIC 438102256,CANDIDATE,K2
TIC 44883470,CANDIDATE,K2
TIC 83377800,CANDIDATE,K2
TIC 83795004,CANDIDATE,K2
TIC 58731207,CANDIDATE,K2
TIC 58731207,CANDIDATE,K2
TIC 58731207,CANDIDATE,K2
TIC 387716346,CANDIDATE,K2
TIC 83709114,CANDIDATE,K2
TIC 83709114,CANDIDATE,K2
TIC 83709114,CANDIDATE,K2
TIC 195129145,CANDIDATE,K2
TIC 195129145,CANDIDATE,K2
TIC 195129145,CANDIDATE,K2
TIC 386624472,CANDIDATE,K2
TIC 306689250,FALSE POSITIVE,K2
TIC 84453551,CANDIDATE,K2
TIC 55234285,CANDIDATE,K2
TIC 84546771,CANDIDATE,K2
TIC 58779100,CANDIDATE,K2
TIC 284490115,CANDIDATE,K2
TIC 55265307,CANDIDATE,K2
TIC 82928381,CANDIDATE,K2
TIC 58780846,CANDIDATE,K2
TIC 83375909,CANDIDATE,K2
TIC 438338723,CANDIDATE,K2
TIC 438071843,CANDIDATE,K2
TIC 438071843,CANDIDATE,K2
TIC 438071843,CANDIDATE,K2
TIC 385594855,CANDIDATE,K2
TIC 385594855,CANDIDATE,K2
TIC 84442448,CANDIDATE,K2
TIC 79517411,CANDIDATE,K2
TIC 308490355,CANDIDATE,K2
TIC 385667471,CANDIDATE,K2
TIC 385667471,CANDIDATE,K2
TIC 385667471,CANDIDATE,K2
TIC 87474573,CANDIDATE,K2
TIC 367191694,CANDIDATE,K2
TIC 337079474,CANDIDATE,K2
TIC 307016006,CANDIDATE,K2
TIC 307016006,CANDIDATE,K2
TIC 430049349,CANDIDATE,K2
TIC 284570702,CANDIDATE,K2
TIC 284570702,CANDIDATE,K2
TIC 445959194,CANDIDATE,K2
TIC 58946313,CANDIDATE,K2
TIC 84599716,CANDIDATE,K2
TIC 84599716,CANDIDATE,K2
TIC 87270008,FALSE POSITIVE,K2
TIC 87270008,FALSE POSITIVE,K2
TIC 87270008,FALSE POSITIVE,K2
TIC 86543926,FALSE POSITIVE,K2
TIC 86543926,FALSE POSITIVE,K2
TIC 45179675,CANDIDATE,K2
TIC 81729236,CANDIDATE,K2
TIC 323020176,CANDIDATE,K2
TIC 323020176,CANDIDATE,K2
TIC 204818444,CANDIDATE,K2
TIC 68161800,CANDIDATE,K2
TIC 68694240,CANDIDATE,K2
TIC 68694240,CANDIDATE,K2
TIC 68694240,CANDIDATE,K2
TIC 98181869,CANDIDATE,K2
TIC 98181869,CANDIDATE,K2
TIC 98044395,CANDIDATE,K2
TIC 98044395,CANDIDATE,K2
TIC 98044395,CANDIDATE,K2
TIC 205337031,CANDIDATE,K2
TIC 205336474,CANDIDATE,K2
TIC 205336474,CANDIDATE,K2
TIC 205336474,CANDIDATE,K2
TIC 392037308,CANDIDATE,K2
TIC 399151893,CANDIDATE,K2
TIC 68406313,FALSE POSITIVE,K2
TIC 323013113,CANDIDATE,K2
TIC 98468044,CANDIDATE,K2
TIC 206005802,CANDIDATE,K2
TIC 68645284,CANDIDATE,K2
TIC 68645284,CANDIDATE,K2
TIC 175749098,CANDIDATE,K2
TIC 175749098,CANDIDATE,K2
TIC 66751054,CANDIDATE,K2
TIC 66751054,CANDIDATE,K2
TIC 66751054,CANDIDATE,K2
TIC 67235717,CANDIDATE,K2
TIC 67235717,CANDIDATE,K2
TIC 98690271,FALSE POSITIVE,K2
TIC 98170399,FALSE POSITIVE,K2
TIC 98094704,CANDIDATE,K2
TIC 98088236,CANDIDATE,K2
TIC 67086160,CANDIDATE,K2
TIC 392396566,FALSE POSITIVE,K2
TIC 15288043,CANDIDATE,K2
TIC 191091959,CANDIDATE,K2
TIC 77574118,CANDIDATE,K2
TIC 68131578,FALSE POSITIVE,K2
TIC 98093602,FALSE POSITIVE,K2
TIC 98093602,FALSE POSITIVE,K2
TIC 98093602,FALSE POSITIVE,K2
TIC 15197395,CANDIDATE,K2
TIC 15197395,CANDIDATE,K2
TIC 68048686,CANDIDATE,K2
TIC 15976646,CANDIDATE,K2
TIC 175744910,FALSE POSITIVE,K2
TIC 175744910,FALSE POSITIVE,K2
TIC 175744910,FALSE POSITIVE,K2
TIC 68045555,FALSE POSITIVE,K2
TIC 15657357,CANDIDATE,K2
TIC 15657357,CANDIDATE,K2
TIC 98231712,FALSE POSITIVE,K2
TIC 98233820,CANDIDATE,K2
TIC 15283600,CANDIDATE,K2
TIC 191148579,CANDIDATE,K2
TIC 68640538,CANDIDATE,K2
TIC 191097398,FALSE POSITIVE,K2
TIC 49072130,CANDIDATE,K2
TIC 49072130,CANDIDATE,K2
TIC 437589199,CANDIDATE,K2
TIC 48967368,CANDIDATE,K2
TIC 49585759,FALSE POSITIVE,K2
TIC 203822414,FALSE POSITIVE,K2
TIC 12566211,CANDIDATE,K2
TIC 73125748,CANDIDATE,K2
TIC 205111658,CANDIDATE,K2
TIC 287548906,CANDIDATE,K2
TIC 204378237,CANDIDATE,K2
TIC 50064226,CANDIDATE,K2
TIC 12779416,FALSE POSITIVE,K2
TIC 9676822,FALSE POSITIVE,K2
TIC 9795183,CANDIDATE,K2
TIC 48796694,FALSE POSITIVE,K2
TIC 72999657,CANDIDATE,K2
TIC 12629920,CANDIDATE,K2
TIC 204750233,CANDIDATE,K2
TIC 9794694,CANDIDATE,K2
TIC 13310825,CANDIDATE,K2
TIC 49915084,CANDIDATE,K2
TIC 49915084,CANDIDATE,K2
TIC 49508641,CANDIDATE,K2
TIC 203063594,CANDIDATE,K2
TIC 220604190,CANDIDATE,K2
TIC 280160125,FALSE POSITIVE,K2
TIC 12662204,CANDIDATE,K2
TIC 12662204,CANDIDATE,K2
TIC 9675067,CANDIDATE,K2
TIC 162473307,FALSE POSITIVE,K2
